"caseid","date","event","comment","country1","country2","species","order","date2","year","post2017","decade","continent"
"43443","22/04/2022","Seizure","68 kg of hippo teeth seized in Hima, Kasese - 1 arrested","Uganda",NA,"Hippopotamus amphibius","Artiodactyla",2022-04-22,2022,TRUE,"2023","Asia"
"42893","08/04/2022","Seizure","1 elephant tusk, 1 tail, 8 pieces of hide, 1 hippo skull & teeth, & 8 crocodile skins seized - 4 arrested","Burkina Faso",NA,"3 species","Artiodactyla",2022-04-08,2022,TRUE,"2023","Asia"
"44925","06/04/2022","Seizure","Ivory, wild boar teeth and tiger teeth seized in Roluos, Phnom Penh - 4 charged","Cambodia",NA,"3 species","Artiodactyla",2022-04-06,2022,TRUE,"2023","Asia"
"42994","04/04/2022","Seizure","2 leopard skins, 1 deer skin, deer antlers, pangolin scales and other wildlife parts seized in Titigaon, Odisha - 1 arrested","India",NA,"7 species","Artiodactyla",2022-04-04,2022,TRUE,"2023","Asia"
"43820","01/04/2022","Seizure","15 kg of wild deer and boar meat seized in Phnom Penh","Cambodia",NA,"2 species","Artiodactyla",2022-04-01,2022,TRUE,"2023","Asia"
"42909","01/04/2022","Seizure","1,090 taxidermy animals incl. elephants, rhinos, polar bears & snow leopards, & 198 elephant tusks found in warehouse in Betera, Valencia","Spain",NA,"12 species","Artiodactyla",2022-04-01,2022,TRUE,"2023","Asia"
"42890","31/03/2022","Seizure","1 warthog carcass seized in the Salonga National Park","Congo, Democratic Republic of The",NA,"Phacochoerus africanus","Artiodactyla",2022-03-31,2022,TRUE,"2023","Asia"
"48955","21/03/2022","Poaching / Illegal Harvesting","1 warthog released from snare in Brakwater, Khomas Region","Namibia",NA,"Phacochoerus africanus","Artiodactyla",2022-03-21,2022,TRUE,"2023","Africa"
"43277","16/03/2022","Seizure","57 Tibetan antelope shawls seized in Okhla, Delhi","India",NA,"Pantholops hodgsonii","Artiodactyla",2022-03-16,2022,TRUE,"2023","Asia"
"45008","13/03/2022","Poaching / Illegal Harvesting","Tiger and wild boar killed by electrocution in Makardhokda, North Umred, Maharashtra - 3 arrested","India",NA,"2 species","Artiodactyla",2022-03-13,2022,TRUE,"2023","Asia"
"43276","13/03/2022","Seizure","8 parakeet chicks and 2 deer antlers seized in Madurai, Tamil Nadu - 3 arrested","India",NA,"2 species","Artiodactyla",2022-03-13,2022,TRUE,"2023","Asia"
"42217","09/03/2022","Seizure","Deer meat seized in Matialli, Jalpaiguri, West Bengal - 2 arrested","India",NA,"Cervidae","Artiodactyla",2022-03-09,2022,TRUE,"2023","Asia"
"42442","01/03/2022","Seizure","Deer horns seized in Aamgachi, Bihar - 2 arrested","India","Nepal","Cervidae","Artiodactyla",2022-03-01,2022,TRUE,"2023","Asia"
"45013","26/02/2022","Seizure","27 ivory pieces & 2 warthog teeth seized in Onhuno, Helao Nafidi Town, Ohangwena - 5 charged","Namibia",NA,"2 species","Artiodactyla",2022-02-26,2022,TRUE,"2023","Africa"
"41740","15/02/2022","Seizure","3 baby leopards, 1 tiger skin, 3 clouded leopard skins, 2 leoaprd skins and 1 oryx horn seized in Sangkhla Buri district, Kanchanaburi - 3 arrested","Thailand",NA,"5 species","Artiodactyla",2022-02-15,2022,TRUE,"2023","Asia"
"42428","12/02/2022","Seizure","Wild boar parts seized in Bilaspur, Chhattisgarh - 2 arrested","India",NA,"Sus","Artiodactyla",2022-02-12,2022,TRUE,"2023","Asia"
"45100","09/02/2022","Poaching / Illegal Harvesting","Musk oxen meat seized in Nunapitchuk, Alaska - 3 charged","United States of America",NA,"Ovibos moschatus","Artiodactyla",2022-02-09,2022,TRUE,"2023","Asia"
"45022","05/02/2022","Seizure","846 Saiga horns seized in Atasu, Zhanaarka district - 1 suspect","Kazakhstan",NA,"Saiga","Artiodactyla",2022-02-05,2022,TRUE,"2023","Asia"
"41514","01/02/2022","Seizure","1 Okapi skin seized in Kirumba, North Kivu - 1 arrested","Congo, Democratic Republic of The",NA,"Okapia johnstoni","Artiodactyla",2022-02-01,2022,TRUE,"2023","Asia"
"41473","01/02/2022","Seizure","1 leopard skin, 3 claws, wild boar parts and porcupines seized in Sironj, Madhya Pradesh - 2 arrested","India",NA,"3 species","Artiodactyla",2022-02-01,2022,TRUE,"2023","Asia"
"45094","27/01/2022","Seizure","2 parrots, deer antlers, deer bones and 2 crocodile heads seized at Bitung Port","Indonesia",NA,"4 species","Artiodactyla",2022-01-27,2022,TRUE,"2023","Asia"
"45026","22/01/2022","Seizure","213 saiga horns and 1 piece of rhino horn seized in Guangdong - 1 arrested","China",NA,"2 species","Artiodactyla",2022-01-22,2022,TRUE,"2023","Asia"
"45068","17/01/2022","Seizure","6 kg of Sambar deer meat and body parts seized in Navtala, Maharashtra - 11 arrested","India",NA,"Rusa unicolor","Artiodactyla",2022-01-17,2022,TRUE,"2023","Asia"
"45074","16/01/2022","Poaching / Illegal Harvesting","2 pronghorn killed and another 2 injured in Crane, Oregon","United States of America",NA,"Antilocapra americana","Artiodactyla",2022-01-16,2022,TRUE,"2023","Asia"
"41282","15/01/2022","Seizure","5 impala carcasses seized at Senuko Ranch, Save Valley Conservancy - 4 arrested","Zimbabwe",NA,"Aepyceros melampus","Artiodactyla",2022-01-15,2022,TRUE,"2023","Africa"
"45021","14/01/2022","Seizure","2 saiga carcasses seized in Zhezqazghan - 1 suspect","Kazakhstan",NA,"Saiga","Artiodactyla",2022-01-14,2022,TRUE,"2023","Asia"
"41475","14/01/2022","Seizure","2 live civets (4 kg), 3 porcupines (9.5 kg), 1 live pangolin (6 kg), 1 soft-shell turtle (10 kg), 10 live turtles (5 kg), 2 dead civets (5 kg) and other parts seized at Bo Y Border Gate, Kon Tum","Viet Nam",NA,"6 species","Artiodactyla",2022-01-14,2022,TRUE,"2023","Asia"
"43271","13/01/2022","Seizure","1 spotted deer skin and 1 pair of antlers seized in Bijadandi, Madhya Pradesh - 1 arrested","India",NA,"Axis axis","Artiodactyla",2022-01-13,2022,TRUE,"2023","Asia"
"46145","11/01/2022","Seizure","17 tusks & hippo tooth seized in Mafinga, Iringa Region - 2 arrested","Tanzania, United Republic of",NA,"2 species","Artiodactyla",2022-01-11,2022,TRUE,"2023","Asia"
"41134","10/01/2022","Seizure","88 kg of Kafue Lechwe meat seized in Blue Lagoon National Park - 5 convicted","Zambia",NA,"Kobus leche kafuensis","Artiodactyla",2022-01-10,2022,TRUE,"2023","Asia"
"42076","08/01/2022","Seizure","2 cobras, 20 box turtles, 5 mountain turtles, bear paws and porcupine seized in Tan Chau district, Tay Ninh","Viet Nam",NA,"9 species","Artiodactyla",2022-01-08,2022,TRUE,"2023","Asia"
"43270","07/01/2022","Seizure","5 blackbucks seized in Nanded, Maharashtra","India",NA,"Antilope cervicapra","Artiodactyla",2022-01-07,2022,TRUE,"2023","Asia"
"42298","06/01/2022","Seizure","1 tiger carcass, 1 tiger skeleton, 2 tiger skins, 1 antelope head, 1,578 packages of tiger bone glue and other wildlife seized in Pho Yen, Thai Nguyen - 3 convicted","Viet Nam",NA,"4 species","Artiodactyla",2022-01-06,2022,TRUE,"2023","Asia"
"41356","28/12/2021","Seizure","48 Shahtoosh Stoles containing Tibetan Antelope seized in Delhi","India","Hong Kong","Pantholops hodgsonii","Artiodactyla",2021-12-28,2021,TRUE,"2023","Asia"
"41179","19/12/2021","Seizure","1 baby bushbuck seized at Keur Ayib - 1 arrested","Senegal",NA,"Tragelaphus scriptus","Artiodactyla",2021-12-19,2021,TRUE,"2023","Asia"
"41130","16/12/2021","Seizure","30 kgs of ivory and 20 kg of hippo teeth seized in Kirumba - 2 arrested","Congo, Democratic Republic of The",NA,"2 species","Artiodactyla",2021-12-16,2021,TRUE,"2023","Asia"
"45062","14/12/2021","Enforcement Action / Prosecution","1 convicted for wildlife-related crimes in Washington","United States of America",NA,"Capra","Artiodactyla",2021-12-14,2021,TRUE,"2023","Asia"
"41338","08/12/2021","Seizure","2 spotted deer horns seized at Thalassery, Kannur, Kerala - 4 arrested","India",NA,"Axis axis","Artiodactyla",2021-12-08,2021,TRUE,"2023","Asia"
"40511","06/12/2021","Seizure","duiker meat seized in Nkurenkuru - 2 charged","Namibia",NA,"Bovidae","Artiodactyla",2021-12-06,2021,TRUE,"2023","Africa"
"44264","01/12/2021","Seizure","Buffalo meat, elephant skins, baboon parts and animal bones seized at Punda Maria Gate, Limpopo - 4 arrested","South Africa",NA,"4 species","Artiodactyla",2021-12-01,2021,TRUE,"2023","Africa"
"44279","29/11/2021","Seizure","5 Saiga antelope horns and 1 antelope horn knife seized in Qingdao - 1 arrested","China",NA,"Saiga tatarica","Artiodactyla",2021-11-29,2021,TRUE,"2023","Asia"
"40191","23/11/2021","Seizure","Lion oil and skin and other wildlife seized in Ilunde County, Rungwa - 1 arrested","Tanzania, United Republic of",NA,"4 species","Artiodactyla",2021-11-23,2021,TRUE,"2023","Asia"
"42178","21/11/2021","Seizure","2.1 kg of pangolin scales and deer skin seized in Oldabari, West Bengal - 1 arrested","India",NA,"2 species","Artiodactyla",2021-11-21,2021,TRUE,"2023","Asia"
"42135","19/11/2021","Seizure","3.82 kg of ivory carvings and hippo ivory seized at Shenzhen Baoan Airport","China",NA,"2 species","Artiodactyla",2021-11-19,2021,TRUE,"2023","Asia"
"44297","16/11/2021","Seizure","17 apline musk deer carcasses seized in A'92Xu Town, Dege County, Sichuan - 5 arrested","China",NA,"Moschus chrysogaster","Artiodactyla",2021-11-16,2021,TRUE,"2023","Asia"
"41351","15/11/2021","Seizure","1 Shahtoosh Shawl containing Tibetan Antelope seized at Air Cargo Delhi","India","Kuwait","Pantholops hodgsonii","Artiodactyla",2021-11-15,2021,TRUE,"2023","Asia"
"39676","01/11/2021","Seizure","60 ivory rings, 8 bracelets, 20 bear claw pendants, 20 wild pig teeth pendants and 30 elephant tails seized in Da Lat City, Lam Dong","Viet Nam",NA,"3 species","Artiodactyla",2021-11-01,2021,TRUE,"2023","Asia"
"40767","28/10/2021","Seizure","136 kg (300 lbs) of moose meat seized in Lower Mainland, British Columbia","Canada",NA,"Alces alces","Artiodactyla",2021-10-28,2021,TRUE,"2023","Asia"
"45132","20/10/2021","Seizure","1 waterbuck carcass seized in Witvlei - 2 arrested","Namibia",NA,"Kobus ellipsiprymnus","Artiodactyla",2021-10-20,2021,TRUE,"2023","Africa"
"45129","16/10/2021","Seizure","1 oryx carcass seized in Witvlei - 3 arrested","Namibia",NA,"Oryx","Artiodactyla",2021-10-16,2021,TRUE,"2023","Africa"
"41573","14/10/2021","Seizure","4 Elephant tusks, 2 rhino horns, 132 ivory carvings and other wildlife seized in Madrid - 1 suspect","Spain",NA,"9 species","Artiodactyla",2021-10-14,2021,TRUE,"2023","Asia"
"39347","14/10/2021","Seizure","1 monitor lizard, 2 civets and 16 kg of boar meat and other wildlife seized from a restaurant in Huong Thuy, Thue Thien Hue","Viet Nam",NA,"4 species","Artiodactyla",2021-10-14,2021,TRUE,"2023","Asia"
"41348","13/10/2021","Seizure","20 Shahtoosh Shawls containing Tibetan Antelope seized at Air Cargo Delhi","India","Germany","Pantholops hodgsonii","Artiodactyla",2021-10-13,2021,TRUE,"2023","Asia"
"39044","11/10/2021","Seizure","1 pair of animal horns seized in Luzhou","China",NA,"Bovidae","Artiodactyla",2021-10-11,2021,TRUE,"2023","Asia"
"41347","06/10/2021","Seizure","10 Shahtoosh Shawls containing Tibetan antelope seized at Air Cargo Delhi","India","China","Pantholops hodgsonii","Artiodactyla",2021-10-06,2021,TRUE,"2023","Asia"
"40997","06/10/2021","Seizure","505 kg seahorses, 120 kg manta ray gills, 100 kg sea dragon, 30 kg buffalo horn and other wildlife seized in Ho Chi Minh","Viet Nam",NA,"12 species","Artiodactyla",2021-10-06,2021,TRUE,"2023","Asia"
"45142","04/10/2021","Seizure","46 kg of ivory, 7 kg of pangolin scales, 1 lion skin, 8 kg of hippo teeth and 45 kg ofUgandan kob meat seized in Nebbi - 3 arrested","Uganda",NA,"5 species","Artiodactyla",2021-10-04,2021,TRUE,"2023","Asia"
"40837","01/10/2021","Enforcement Action / Prosecution","30 white-tailed deer poached and meat stolen from hunters in Gallia County, Ohio - 8 charged","United States of America",NA,"Odocoileus virginianus","Artiodactyla",2021-10-01,2021,TRUE,"2023","Asia"
"39225","01/10/2021","Seizure","30 kg of wild meat, 21 dead birds and 70 live turtles seized in Cambodia","Cambodia",NA,"5 species","Artiodactyla",2021-10-01,2021,TRUE,"2023","Asia"
"42115","29/09/2021","Seizure","257 ivory scroll heads, 2 scroll heads made of sika deer horns and 2 Dalbergia scroll heads seized in Yiwu","China",NA,"3 species","Artiodactyla",2021-09-29,2021,TRUE,"2023","Asia"
"42155","23/09/2021","Seizure","8 pieces of ivory and 1 deer horn seized in Egmore, Tamil Nadu","India",NA,"2 species","Artiodactyla",2021-09-23,2021,TRUE,"2023","Asia"
"39116","20/09/2021","Seizure","1 leopard skin, 1 Sambar deer skull and 2 horns in Sindhudurg District, Maharashta - 4 charged","India",NA,"2 species","Artiodactyla",2021-09-20,2021,TRUE,"2023","Asia"
"38249","16/09/2021","Seizure","1 dead tiger (160 kg) seized in Son Lam commune, Huong Son district, Ha Tinh - 1 convicted","Viet Nam",NA,"2 species","Artiodactyla",2021-09-16,2021,TRUE,"2023","Asia"
"42198","09/09/2021","Seizure","1 live pangolin, 1 monitor lizard (3 kg), 20 bamboo rats (17 kg) and other wildlife seized in Gung Re commune, Di Linh, Lam Dong - 1 convicted","Viet Nam",NA,"10 species","Artiodactyla",2021-09-09,2021,TRUE,"2023","Asia"
"38138","01/09/2021","Seizure","1 Sumatran tiger head, 2 deer heads, 203 sun bear teeth, ivory products and other wildlife seized at Bakauheni Port - 1 arrested","Indonesia",NA,"5 species","Artiodactyla",2021-09-01,2021,TRUE,"2023","Asia"
"37979","29/08/2021","Seizure","1 Sumatran tiger skin and 2 deer fetus seized in Riau - 1 arrested","Indonesia",NA,"2 species","Artiodactyla",2021-08-29,2021,TRUE,"2023","Asia"
"37871","25/08/2021","Seizure","21 live snakes, 2 dead cobra, 12 Hatha jodi, 6 big cat claws, 11 monitor lizard parts and other wildlife seized in Nalagarh, Himachal Pradesh - 2 arrested","India",NA,"9 species","Artiodactyla",2021-08-25,2021,TRUE,"2023","Asia"
"37874","24/08/2021","Seizure","Tiger bones seized in Jabalpur, Madhya Pradesh - 1 arrested","India",NA,"2 species","Artiodactyla",2021-08-24,2021,TRUE,"2023","Asia"
"37608","13/08/2021","Poaching / Illegal Harvesting","1 male banteng killed in Kampong Speu","Cambodia",NA,"Bos javanicus","Artiodactyla",2021-08-13,2021,TRUE,"2023","Asia"
"45159","08/08/2021","Seizure","Ivory carvings, deer skin, tiger claws, porcupine quills, conch shells and other wildlife seized in KSRTC Layout, Bengaluru - 1 arrested","India",NA,"11 species","Artiodactyla",2021-08-08,2021,TRUE,"2023","Asia"
"37529","07/08/2021","Seizure","5 turtle shells, 10 sea shells, 1 sea fan, ivory carvings and other wildlife seized in Kanniyakumari, Tamil Nadu","India",NA,"6 species","Artiodactyla",2021-08-07,2021,TRUE,"2023","Asia"
"40492","01/08/2021","Seizure","10.25 kg of ivory and impala skull seized - 1 charged","Malawi",NA,"2 species","Artiodactyla",2021-08-01,2021,TRUE,"2023","Asia"
"38594","24/07/2021","Poaching / Illegal Harvesting","wildebeest poached in Okahandja - 3 charged","Namibia",NA,"Connochaetes","Artiodactyla",2021-07-24,2021,TRUE,"2023","Africa"
"37924","17/07/2021","Seizure","2 warthogs seized in Outjo - 3 Namibians charged","Namibia",NA,"Phacochoerus","Artiodactyla",2021-07-17,2021,TRUE,"2023","Africa"
"37923","15/07/2021","Seizure","1 Oryx carcass seized in Outjo - 1 Namibian charged","Namibia",NA,"Oryx","Artiodactyla",2021-07-15,2021,TRUE,"2023","Africa"
"40432","13/07/2021","Seizure","giraffe carcass seized in Oshivelo - 1 convicted","Namibia",NA,"Giraffa","Artiodactyla",2021-07-13,2021,TRUE,"2023","Africa"
"37934","06/07/2021","Seizure","140 dik-diks and porcupine meat seized in Didima Bula, Tana Delta Sub-County - 3 convicted","Kenya",NA,"3 species","Artiodactyla",2021-07-06,2021,TRUE,"2023","Africa"
"36843","05/07/2021","Seizure","Tiger skin, tiger teeth and musk deer glands seized in Thamel, Kathmandu - 4 Chinese nationals detained","Nepal",NA,"2 species","Artiodactyla",2021-07-05,2021,TRUE,"2023","Asia"
"36847","02/07/2021","Seizure","Chinese serow parts seized in Chu Yang Sin National Park - 4 arrested","Viet Nam",NA,"Capricornis sumatraensis","Artiodactyla",2021-07-02,2021,TRUE,"2023","Asia"
"37143","01/07/2021","Seizure","10 kg of red muntjac meat and 4 kg of wild meat seized from a market in Kratie","Cambodia",NA,"2 species","Artiodactyla",2021-07-01,2021,TRUE,"2023","Asia"
"37054","28/06/2021","Seizure","1 dead Bushbuck seized in Kamwenge District - 2 convicted","Uganda",NA,"Tragelaphus scriptus","Artiodactyla",2021-06-28,2021,TRUE,"2023","Asia"
"36773","28/06/2021","Seizure","1 deer antler seized in Dadhanur, Tamil Nadu","India",NA,"Cervidae","Artiodactyla",2021-06-28,2021,TRUE,"2023","Asia"
"36715","28/06/2021","Seizure","6 Monitor skins, 14 Chital skins, Sambar deer antlers and 2.5 kg of pangolin scales seized in Barhi, Madhya Pradesh - 2 arrested","India",NA,"4 species","Artiodactyla",2021-06-28,2021,TRUE,"2023","Asia"
"37930","25/06/2021","Seizure","1 Gemsbok carcass seized in Dordabis - 3 Namibians charged","Namibia",NA,"Oryx gazella","Artiodactyla",2021-06-25,2021,TRUE,"2023","Africa"
"37928","21/06/2021","Seizure","1 Eland carcass seized at King Nehale Gate, Etosha National Park - 2 Namibians charged","Namibia",NA,"Taurotragus oryx","Artiodactyla",2021-06-21,2021,TRUE,"2023","Africa"
"36439","19/06/2021","Seizure","187 dik-diks poached for bushmeat seized at Galana - 3 convicted","Kenya",NA,"Madoqua","Artiodactyla",2021-06-19,2021,TRUE,"2023","Africa"
"36182","06/06/2021","Seizure","giraffe skin seized in Windhoek - 1 charged","Namibia",NA,"Giraffa","Artiodactyla",2021-06-06,2021,TRUE,"2023","Africa"
"44308","03/06/2021","Seizure","1 bushbuck carcass seized in Mau Forest","Kenya",NA,"Tragelaphus scriptus","Artiodactyla",2021-06-03,2021,TRUE,"2023","Africa"
"36043","02/06/2021","Seizure","17 ivory carvings (0.1201 kg), 50 hippo teeth (0.7759 kg) and 10 mammal bone products (0.2853 kg) seized at Shanghai Pudong International Airport","China",NA,"3 species","Artiodactyla",2021-06-02,2021,TRUE,"2023","Asia"
"45170","01/06/2021","Seizure","11 Przewalski gazelle horns and 0.5 kg of pangolin scales seized in Taizhou - 4 arrested","China",NA,"2 species","Artiodactyla",2021-06-01,2021,TRUE,"2023","Asia"
"45082","01/06/2021","Seizure","4 Sulcata tortoises, 2 leopard cats and 4 deer antlers seized in Sri Damansara, Kuala Lumpur - 1 arrested","Malaysia",NA,"3 species","Artiodactyla",2021-06-01,2021,TRUE,"2023","Asia"
"40994","30/05/2021","Seizure","146 Saiga horns and 6 white rhino horn bracelets - 2 arrested","China",NA,"2 species","Artiodactyla",2021-05-30,2021,TRUE,"2023","Asia"
"36057","30/05/2021","Seizure","1 Sitatunga carcass and bones seized in Nandi County - 14 arrested","Kenya",NA,"Tragelaphus spekii","Artiodactyla",2021-05-30,2021,TRUE,"2023","Africa"
"39193","26/05/2021","Seizure","18 crocodile skulls, 7 crocodile feet, a sloth, and other undeclared wildlife at US border, Vermont - 1 arrested","United States of America","Canada","12 species","Artiodactyla",2021-05-26,2021,TRUE,"2023","Asia"
"36139","26/05/2021","Seizure","Racoon feet, antelope horns and shark jaws seized in Vermont - 1 suspect arrested for smuggling between US and Canada","United States of America","Canada","3 species","Artiodactyla",2021-05-26,2021,TRUE,"2023","Asia"
"35749","24/05/2021","Seizure","Elephant tusk and spotted deer meat seized in BRT Tiger Reserve - 2 arrested","India",NA,"2 species","Artiodactyla",2021-05-24,2021,TRUE,"2023","Asia"
"39872","19/05/2021","Seizure","oryx carcass seized in Okahandja - 1 charged","Namibia",NA,"Oryx","Artiodactyla",2021-05-19,2021,TRUE,"2023","Africa"
"35307","07/05/2021","Seizure","2 elephant tusks (9 kg) and 1 hippo tooth seized in Busia county - 1 Ugandan police officer charged","Kenya",NA,"2 species","Artiodactyla",2021-05-07,2021,TRUE,"2023","Africa"
"37329","01/05/2021","Seizure","200 Saiga horns and 212 tiger bones seized in Harbin - 1 arrested","China","Russian Federation","2 species","Artiodactyla",2021-05-01,2021,TRUE,"2023","Asia"
"35023","28/04/2021","Seizure","Whale ambergis, musk deer extract, Gorochan and civet cat extract seized in Chennai","India",NA,"4 species","Artiodactyla",2021-04-28,2021,TRUE,"2023","Asia"
"43255","26/04/2021","Seizure","giraffe carcass seized in Okahao - 4 arrested","Namibia",NA,"Giraffidae","Artiodactyla",2021-04-26,2021,TRUE,"2023","Africa"
"37909","23/04/2021","Seizure","1 Impala carcass seized in Outjo - 1 charged","Namibia",NA,"Aepyceros melampus","Artiodactyla",2021-04-23,2021,TRUE,"2023","Africa"
"34629","20/04/2021","Seizure","1 deer head, 11 deer skins, 4 deer legs, 1 deer skull seized in Bandar Negeri Semuong, Lampung - 1 suspect charged","Indonesia",NA,"Cervidae","Artiodactyla",2021-04-20,2021,TRUE,"2023","Asia"
"36860","15/04/2021","Seizure","2 dead langurs, 1 dead dusky leaf monkey and 1 dead muntjacs seized in Sadet Nai Krom Luang Chumphon North Wildlife Sanctuary - 2 arrested","Thailand",NA,"3 species","Artiodactyla",2021-04-15,2021,TRUE,"2023","Asia"
"42953","13/04/2021","Seizure","1 giraffe carcass seized in Okahao - 3 charged","Namibia",NA,"Giraffidae","Artiodactyla",2021-04-13,2021,TRUE,"2023","Africa"
"34603","11/04/2021","Seizure","3.75 kg of ivory seized in Nakawa, Kampala - 2 suspects arrested","Uganda",NA,"2 species","Artiodactyla",2021-04-11,2021,TRUE,"2023","Asia"
"34606","08/04/2021","Seizure","545 kg of wild boar seized in Kulaijaya, Johor - 1 suspect arrested","Malaysia",NA,"Sus scrofa","Artiodactyla",2021-04-08,2021,TRUE,"2023","Asia"
"39892","03/04/2021","Enforcement Action / Prosecution","oryx related offence commited in Karas Region - 1 charged","Namibia",NA,"Oryx gazella","Artiodactyla",2021-04-03,2021,TRUE,"2023","Africa"
"34340","03/04/2021","Seizure","12 kg of barking deer meat seized in Similipal National Park - 6 arrested","India",NA,"Muntiacus","Artiodactyla",2021-04-03,2021,TRUE,"2023","Asia"
"39893","02/04/2021","Enforcement Action / Prosecution","oryx related offence commited in Karas Region - 5 charged","Namibia",NA,"Oryx gazella","Artiodactyla",2021-04-02,2021,TRUE,"2023","Africa"
"42068","01/04/2021","Seizure","6 wild boar jaw bones and 1 turtle seized - 4 arrested (linked to leopard poaching)","India",NA,"2 species","Artiodactyla",2021-04-01,2021,TRUE,"2023","Asia"
"40414","01/04/2021","Seizure","180.5 kg zebra & dik dik meat seized in Ngama area - 2 arrested","Kenya",NA,"2 species","Artiodactyla",2021-04-01,2021,TRUE,"2023","Africa"
"42949","23/03/2021","Enforcement Action / Prosecution","3 convicted for poaching an oryx in Erongo Region","Namibia",NA,"Oryx gazella","Artiodactyla",2021-03-23,2021,TRUE,"2023","Africa"
"36437","23/03/2021","Seizure","Giraffe meat seized in Vitatu village, Babati district - 1 charged","Tanzania, United Republic of",NA,"Giraffa","Artiodactyla",2021-03-23,2021,TRUE,"2023","Asia"
"36058","23/03/2021","Seizure","Giraffe meat seized in Babati district, Manyara - 1 charged","Tanzania, United Republic of",NA,"Giraffa","Artiodactyla",2021-03-23,2021,TRUE,"2023","Asia"
"38242","17/03/2021","Seizure","750 kg of meat from deer, boar, wild goat and other animals seized in Menongue - 1 arrested","Angola",NA,"4 species","Artiodactyla",2021-03-17,2021,TRUE,"2023","Asia"
"36161","16/03/2021","Seizure","431 Saiga horns (97 kg) seized in Bozhou, Anhui - 2 suspects arrested","China",NA,"Saiga","Artiodactyla",2021-03-16,2021,TRUE,"2023","Asia"
"35056","15/03/2021","Poaching / Illegal Harvesting","1 Banteng killed in Promtep Wildlife Sanctuary, Preah Vihear","Cambodia",NA,"Bos javanicus","Artiodactyla",2021-03-15,2021,TRUE,"2023","Asia"
"36163","14/03/2021","Seizure","839 Saiga horns seized in Qingshuihe and Lucaogou - 3 suspects arrested","China",NA,"Saiga","Artiodactyla",2021-03-14,2021,TRUE,"2023","Asia"
